"Repair Box","Tracking Number From","Shipped From Date","Building","Box Type","Shipping Box Status","Created By","Created Date","Last Modified Date"
"2473","1Z6X34470304160384","12-26-2023 21:37:07","Remote Cloud Campus","To Vivacity","Not Shipped","","N/A","12-26-2023 21:37:07"
"2472","1Z6X34470300457571","12-26-2023 21:30:09","GVL","To Vivacity","Not Shipped","","N/A","12-26-2023 21:30:09"
"2440","1Z6X34470314229176","12-21-2023 21:43:33","GVL","To Vivacity","Not Shipped","","N/A","12-21-2023 21:43:33"
"2437","1Z6X34470318597940","12-21-2023 20:39:58","GVL","To Vivacity","Not Shipped","","N/A","12-21-2023 20:39:58"
"2394","1Z6X34470315762114","12-20-2023 22:11:29","GVL","To Vivacity","Not Shipped","","N/A","12-20-2023 22:11:29"
"2379","1Z6X34470306194399","12-20-2023 16:28:51","Building One","To Vivacity","Not Shipped","","N/A","12-20-2023 16:28:51"
"2370","1Z6X34470339958985","12-20-2023 01:27:59","GVL","To Vivacity","Not Shipped","","N/A","12-20-2023 01:27:59"
"2364","1Z6X34470311359139","12-20-2023 00:25:38","GVL","To Vivacity","Recieved By Vivacity","","N/A","12-20-2023 00:25:38"
"2332","1Z6X34470311945826","12-19-2023 01:12:13","GVL","To Vivacity","Not Shipped","","N/A","12-19-2023 01:12:13"
"2301","1Z6X34470335237083","12-16-2023 02:04:20","GVL","To Vivacity","Shipping From District","","N/A","12-16-2023 02:04:20"
"2281","1Z6X34470316029030","12-15-2023 21:47:44","GVL","To Vivacity","Not Shipped","","N/A","12-15-2023 21:47:44"
"2273","1Z6X34470301010836","12-15-2023 08:31:07","GVL","To Vivacity","Not Shipped","","N/A","12-15-2023 08:31:07"
"2272","1Z6X34470319316009","12-15-2023 05:45:42","Remote Cloud Campus","To Vivacity","Not Shipped","","N/A","12-15-2023 05:45:42"
"2271","1Z6X34470300492970","12-15-2023 03:56:28","Building One","To Vivacity","Not Shipped","","N/A","12-15-2023 03:56:28"
"2256","1Z6X34470330053521","12-14-2023 04:01:24","GVL","To Vivacity","Not Shipped","","N/A","12-14-2023 04:01:24"
"2255","1Z6X34470310051678","12-14-2023 03:46:34","Raynes Administration","To Vivacity","Not Shipped","","N/A","12-14-2023 03:46:34"
"2242","1Z6X34470326806243","12-14-2023 02:47:42","Test to address","To Vivacity","Not Shipped","","N/A","12-14-2023 02:47:42"
"2222","1Z6X34470311064948","12-13-2023 21:32:09","Building One","To Vivacity","Not Shipped","","N/A","12-13-2023 21:32:09"
"2200","1Z6X34470319118803","12-13-2023 00:47:13","GVL","To Vivacity","Not Shipped","","N/A","12-13-2023 00:47:13"
"2198","1Z6X34470308964759","12-13-2023 00:08:12","GVL","To Vivacity","Not Shipped","","N/A","12-13-2023 00:08:12"
"2190","1Z6X34470321769169","12-12-2023 23:03:51","GVL","To Vivacity","Not Shipped","","N/A","12-12-2023 23:03:51"
"2187","1Z6X34470317354061","12-12-2023 22:16:57","GVL","To Vivacity","Not Shipped","","N/A","12-12-2023 22:16:57"
"2168","1Z6X34470304230290","12-12-2023 20:38:21","GVL","To Vivacity","Not Shipped","","N/A","12-12-2023 20:38:21"
"2052","1Z6X34470332792416","12-08-2023 20:19:17","GVL","To Vivacity","Not Shipped","","N/A","12-08-2023 20:19:17"
"2041","1Z6X34470301529901","12-08-2023 01:41:26","GVL","To Vivacity","Not Shipped","","N/A","12-08-2023 01:41:26"
"2023","1Z6X34470311203707","12-07-2023 23:27:43","Remote Cloud Campus","To Vivacity","Not Shipped","","N/A","12-07-2023 23:27:43"
"2012","1Z6X34470321810274","12-07-2023 22:06:32","GVL","To Vivacity","Not Shipped","","N/A","12-07-2023 22:06:32"
"1973","1Z6X34470328830856","12-06-2023 23:57:12","GVL","To Vivacity","Not Shipped","","N/A","12-06-2023 23:57:12"
"1961","1Z6X34470302241415","12-06-2023 22:53:47","GVL","To Vivacity","Not Shipped","","N/A","12-06-2023 22:53:47"
"1938","1Z6X34470317332487","12-06-2023 01:52:31","GVL","To Vivacity","Not Shipped","","N/A","12-06-2023 01:52:31"
"1930","1Z6X34470315660573","12-05-2023 23:47:25","GVL","To Vivacity","Not Shipped","","N/A","12-05-2023 23:47:25"
"1886","1Z6X34470314241796","12-05-2023 01:46:56","GVL","To Vivacity","Not Shipped","","N/A","12-05-2023 01:46:56"
"1873","1Z6X34470316500261","12-05-2023 00:53:39","GVL","To Vivacity","Not Shipped","","N/A","12-05-2023 00:53:39"
"1834","1Z6X34470313489665","12-02-2023 00:56:22","GVL","To Vivacity","Not Shipped","","N/A","12-02-2023 00:56:22"
"1780","1Z6X34470333728814","12-01-2023 01:53:29","GVL2","To Vivacity","Not Shipped","","N/A","12-01-2023 01:53:29"
"1683","1Z6X34470332628559","11-29-2023 23:05:12","Remote Cloud Campus","To Vivacity","Not Shipped","","N/A","11-29-2023 23:05:12"
"1595","1Z6X34470328059726","11-28-2023 22:46:29","GVL","To Vivacity","Not Shipped","","N/A","11-28-2023 22:46:29"
"1567","1Z6X34470329868252","11-28-2023 00:59:30","GVL2","To Vivacity","Not Shipped","","N/A","11-28-2023 00:59:30"
"1471","1Z6X34470314624846","11-21-2023 23:49:11","GVL","To Vivacity","Shipping From District","","N/A","11-21-2023 23:49:11"
"1461","1Z6X34470327834158","11-21-2023 23:05:36","GVL","To Vivacity","Shipping From District","","N/A","11-21-2023 23:05:36"
"1451","1Z6X34470333408884","11-21-2023 21:37:04","GVL","To Vivacity","Shipping From District","","N/A","11-21-2023 21:37:04"
"1442","1Z6X34470302125210","11-21-2023 20:48:06","GVL","To Vivacity","Shipping From District","","N/A","11-21-2023 20:48:06"
"1424","1Z6X34470308110626","11-21-2023 01:47:40","GVL","To Vivacity","Not Shipped","","N/A","11-21-2023 01:47:40"
"1306","1Z6X34470304040889","11-16-2023 22:38:28","GVL","To Vivacity","Shipping From District","","N/A","11-16-2023 22:38:28"
"1279","1Z6X34470318376241","11-16-2023 01:19:41","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","11-16-2023 01:19:41"
"1211","1Z6X34470321521130","11-14-2023 22:05:25","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","11-14-2023 22:05:25"
"1123","1Z6X34470315740594","11-11-2023 00:18:19","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","11-11-2023 00:18:19"
"1110","1Z6X34470307943729","11-10-2023 23:15:00","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","11-10-2023 23:15:00"
"1107","1Z6X34470317369493","11-10-2023 22:56:49","GVL","To Vivacity","Shipping From District","","N/A","11-10-2023 22:56:49"
"1040","1Z6X34470325848227","11-09-2023 20:17:36","GVL","To Vivacity","Shipping From District","","N/A","11-09-2023 20:17:36"
"1018","1Z6X34470316322383","11-08-2023 02:01:10","GVL","To Vivacity","Shipping From District","","N/A","11-08-2023 02:01:10"
"968","1Z6X34470332952903","11-06-2023 23:58:06","GVL","To Vivacity","Shipping From District","","N/A","11-06-2023 23:58:06"
"921","1Z6X34470333030246","11-03-2023 20:49:55","GVL","To Vivacity","Shipping From District","","N/A","11-03-2023 20:49:55"
"901","1Z6X34470311527680","11-02-2023 21:52:27","GVL","To Vivacity","Shipping From District","","N/A","11-02-2023 21:52:27"
"898","1Z6X34470335257794","11-02-2023 20:54:58","GVL","To Vivacity","Shipping From District","","N/A","11-02-2023 20:54:58"
"875","1Z6X34470317392967","11-02-2023 00:58:34","GVL","To Vivacity","Shipping From District","","N/A","11-02-2023 00:58:34"
"849","1Z6X34470308791034","11-01-2023 21:45:19","GVL","To Vivacity","Shipping From District","","N/A","11-01-2023 21:45:19"
"836","1Z6X34470320488830","10-31-2023 23:51:38","GVL","To Vivacity","Shipping From District","","N/A","10-31-2023 23:51:38"
"802","1Z6X34470302638176","10-30-2023 17:02:43","Thompson High School","To Vivacity","Shipping From District","","N/A","10-30-2023 17:02:43"
"769","1Z6X34470315091116","10-27-2023 10:04:08","GVL","To Vivacity","Shipping From District","","N/A","10-27-2023 10:04:08"
"768","1Z6X34470304307707","10-27-2023 10:03:27","GVL","To Vivacity","Shipping From District","","N/A","10-27-2023 10:03:27"
"642","1Z6X34470306275453","10-24-2023 19:14:11","GVL","To Vivacity","Shipping From District","","N/A","10-24-2023 19:14:11"
"511","1Z6X34470323527532","10-19-2023 19:42:38","GVL","To Vivacity","Shipping From District","","N/A","10-19-2023 19:42:38"
"463","1Z6X34470332718756","10-17-2023 22:51:56","GVL","To Vivacity","Shipping From District","","N/A","10-17-2023 22:51:56"
"411","1Z6X34470329934886","10-17-2023 00:47:52","GVL","To Vivacity","Shipping From District","","N/A","10-17-2023 00:47:52"
"376","1Z6X34470326923723","10-16-2023 19:19:32","GVL","To Vivacity","Shipping From District","","N/A","10-16-2023 19:19:32"
"375","1Z6X34470302039279","10-14-2023 01:53:57","GVL","To Vivacity","Shipping From District","","N/A","10-14-2023 01:53:57"
"332","1Z6X34470313432144","10-12-2023 00:21:02","GVL","To Vivacity","Shipping From District","","N/A","10-12-2023 00:21:02"
"289","1Z6X34470328671082","10-11-2023 01:16:51","Remote Cloud Campus","To Customer","Shipping To District","","N/A","10-11-2023 01:16:51"
"283","1Z6X34470328067226","10-10-2023 23:54:33","Midway High","To Vivacity","Recieved By Vivacity","","N/A","10-10-2023 23:54:33"
"252","1Z6X34470325358793","10-10-2023 20:52:18","GVL","To Vivacity","Shipping From District","","N/A","10-10-2023 20:52:18"
"234","1Z6X34470302731154","10-10-2023 01:20:55","GVL","To Vivacity","Shipping From District","","N/A","10-10-2023 01:20:55"
"230","1Z6X34470319778949","10-10-2023 00:00:12","GVL","To Vivacity","Shipping From District","","N/A","10-10-2023 00:00:12"
"226","1Z6X34470309503512","10-09-2023 22:57:56","GVL","To Vivacity","Shipping From District","","N/A","10-09-2023 22:57:56"
"206","1Z6X34470321833375","10-06-2023 02:50:40","GVL","To Vivacity","Shipping From District","","N/A","10-06-2023 02:50:40"
"205","1Z6X34470304062838","10-06-2023 00:44:06","GVL","To Vivacity","Shipping From District","","N/A","10-06-2023 00:44:06"
"204","1Z6X34470333844975","10-05-2023 20:44:44","GVL","To Vivacity","Shipping From District","","N/A","10-05-2023 20:44:44"
"203","1Z6X34470317263678","10-05-2023 19:58:54","GVL","To Vivacity","Shipping From District","","N/A","10-05-2023 19:58:54"
"202","1Z6X34470331321542","10-05-2023 00:56:39","GVL","To Vivacity","Shipping From District","","N/A","10-05-2023 00:56:39"
"201","1Z6X34470315294746","10-04-2023 21:16:46","GVL","To Vivacity","Shipping From District","","N/A","10-04-2023 21:16:46"
"200","1Z6X34470339564230","10-04-2023 20:21:06","GVL","To Vivacity","Shipping From District","","N/A","10-04-2023 20:21:06"
"198","ZJWJWE29393","01-27-2023 05:30:00","GVL","To Customer","Recieved By Vivacity","","N/A","10-04-2023 20:14:28"
"197","1Z6X34470331391717","10-04-2023 20:11:23","GVL","To Customer","Shipping From District","","N/A","10-04-2023 20:11:23"
"196","1Z6X34470318096759","10-04-2023 20:00:16","GVL","To Customer","Shipping From District","","N/A","10-04-2023 20:00:16"
"195","1Z6X34470329282303","10-04-2023 18:14:42","GVL","To Customer","Shipping From District","","N/A","10-04-2023 18:14:42"
"194","1Z6X34470309626014","10-03-2023 23:48:57","GVL","To Vivacity","Shipping From District","","N/A","10-03-2023 23:48:57"
"193","1Z6X34470324456063","10-03-2023 19:49:58","Midway Elementary","To Vivacity","Shipping From District","","N/A","10-03-2023 19:49:58"
"192","1Z6X34470300184277","10-02-2023 21:29:17","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","10-02-2023 21:29:17"
"191","1Z6X34470339594529","10-03-2023 01:28:25","GVL","To Vivacity","Shipping From District","","N/A","10-03-2023 01:28:25"
"187","1Z6X34470319607721","10-02-2023 19:28:23","Midway Elementary","To Vivacity","Shipping From District","","N/A","10-02-2023 19:28:23"
"186","1Z6X34470339765460","10-02-2023 19:08:11","Midway Middle","To Vivacity","Shipping From District","","N/A","10-02-2023 19:08:11"
"185","1Z6X34470302930117","10-02-2023 19:06:44","Midway Middle","To Vivacity","Shipping From District","","N/A","10-02-2023 19:06:44"
"184","1Z6X34470311566709","10-02-2023 19:04:39","Midway Elementary","To Vivacity","Shipping From District","","N/A","10-02-2023 19:04:39"
"183","1Z6X34470303593490","10-02-2023 19:04:21","Midway Elementary","To Vivacity","Shipping From District","","N/A","10-02-2023 19:04:21"
"182","1Z6X34470318175011","09-30-2023 00:10:46","Repair Center 23","To Vivacity","Shipping From District","","N/A","09-30-2023 00:10:46"
"181","1Z6X34470311008035","09-28-2023 21:10:36","Sejong Academy II","To Vivacity","Shipping From District","","N/A","N/A"
"180","1Z6X34470325815128","09-28-2023 22:59:48","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"179","1Z6X34470334959680","09-28-2023 19:56:48","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"178","1Z6X34470325643822","09-28-2023 19:27:20","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"177","1Z6X34470305991654","09-28-2023 18:52:22","Remote Cloud Campus","To Vivacity","Shipping From District","","N/A","N/A"
"170","1Z6X34470314789197","09-27-2023 19:14:13","Sejong Academy II","To Vivacity","Shipping From District","","N/A","N/A"
"169","1Z6X34470325443860","09-27-2023 23:47:36","Sejong academy","To Vivacity","Shipping From District","","N/A","N/A"
"168","1Z6X34470311659083","09-27-2023 16:35:37","Sejong Academy II","To Vivacity","Shipping From District","","N/A","N/A"
"167","1Z6X34470318497932","09-27-2023 19:49:43","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"166","1Z6X34470304220881","09-27-2023 19:12:06","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"165","1Z6X34470315208071","09-27-2023 19:05:49","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"164","1Z6X34470334944123","09-26-2023 22:11:16","Sejong Academy II","To Vivacity","Shipping From District","","N/A","N/A"
"163","1Z6X34470302228369","09-26-2023 21:56:30","Sejong academy","To Vivacity","Shipping From District","","N/A","N/A"
"160","1Z6X34470333809923","09-27-2023 00:58:44","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"159","1Z6X34470336081696","09-27-2023 00:17:42","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"158","1Z6X34470321913878","09-26-2023 23:38:01","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"157","1Z6X34470316472579","09-26-2023 23:18:49","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"156","1Z6X34470318547315","09-26-2023 19:51:56","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"155","1Z6X34470313872268","09-26-2023 19:46:08","VT Greenville","To Vivacity","Shipping From District","","N/A","N/A"
"152","1Z6X34470313478293","09-25-2023 23:38:14","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"151","1Z6X34470320415882","09-25-2023 19:11:35","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"150","ZJWJWE29393","01-27-2023 05:30:00","GVL","To Customer","Recieved By Vivacity","","N/A","09-25-2023 22:30:16"
"149","1Z6X34470331857072","09-25-2023 21:58:39","GVL","To Customer","Shipping From District","","N/A","N/A"
"148","1Z6X34470304135036","09-25-2023 21:48:11","GVL","To Customer","Shipping From District","","N/A","N/A"
"147","1Z6X34470310409229","09-25-2023 21:46:06","GVL","To Customer","Shipping From District","","N/A","N/A"
"146","1Z6X34470327112464","09-25-2023 21:41:19","GVL","To Customer","Shipping From District","","N/A","N/A"
"145","1Z6X34470301401619","09-25-2023 20:01:17","GVL","To Customer","Shipping From District","","N/A","N/A"
"144","1Z6X34470306122797","09-22-2023 22:57:13","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"143","1Z6X34470317911799","09-21-2023 02:19:53","Stevens Point Charter","To Customer","Shipping From District","","N/A","N/A"
"142","1Z6X34470304546922","09-21-2023 01:39:42","Stevens Point Charter","To Customer","Shipping From District","","N/A","N/A"
"141","1Z6X34470329197585","09-21-2023 01:17:58","Dream Building","To Customer","Shipping From District","","N/A","N/A"
"140","1Z6X34470321406587","09-19-2023 17:38:36","Johnson Middle School","To Customer","Shipping From District","","N/A","N/A"
"139","1Z6X34470329950064","09-19-2023 01:34:59","Dream Building","To Customer","Shipping From District","","N/A","N/A"
"138","1Z6X34470308327358","09-18-2023 18:50:17","Building One","To Vivacity","Shipping From District","","N/A","N/A"
"137","TPIPRODTEST112","09-16-2023 01:06:56","GVL","To Customer","Shipping To District","","N/A","09-16-2023 01:06:56"
"136","1Z6X34470307165392","09-15-2023 21:43:22","Dream Building","To Customer","Shipping From District","","N/A","N/A"
"135","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping To District","","N/A","N/A"
"134","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping To District","","N/A","N/A"
"133","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping To District","","N/A","N/A"
"132","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping To District","","N/A","N/A"
"131","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping To District","","N/A","N/A"
"130","1Z6X34470314342767","09-15-2023 05:03:46","Dream Building","To Customer","Shipping From District","","N/A","N/A"
"129","1Z6X34470335434306","09-15-2023 04:52:06","CCDream Test1","To Customer","Shipping From District","","N/A","N/A"
"128","1Z6X34470329391098","09-15-2023 04:44:56","CCDream Test1","To Customer","Shipping From District","","N/A","N/A"
"127","1Z6X34470315562321","09-15-2023 04:36:54","Dream Building","To Customer","Shipping From District","","N/A","N/A"
"126","THISISTEST2","09-15-2023 04:26:58","GVL","To Customer","Shipping To District","","N/A","09-15-2023 04:26:58"
"125","THISISTEST","09-15-2023 04:25:48","GVL","To Customer","Shipping To District","","N/A","09-15-2023 04:25:48"
"124","1Z6X34470302472710","09-15-2023 04:16:36","Humphrey High","To Customer","Shipping From District","","N/A","N/A"
"116","1Z6X34470330752374","09-09-2023 08:37:12","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"115","1Z6X34470304329916","09-08-2023 01:07:22","GVL","To Customer","Shipping From District","","N/A","N/A"
"114","1Z6X34470323613591","09-07-2023 18:48:11","GVL2","To Vivacity","Shipping From District","","N/A","N/A"
"113","1Z6X34470327074407","09-07-2023 16:55:50","GVL","To Customer","Shipping From District","","N/A","N/A"
"112","ABCDEFGHIjK","09-06-2023 22:08:41","GVL","To Customer","Shipping To District","","N/A","09-06-2023 22:08:41"
"107","1Z6X34470335185031","09-06-2023 19:11:40","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"106","1Z6X34470338472233","09-05-2023 18:24:40","Building Three","To Vivacity","Shipping From District","","N/A","N/A"
"104","1Z6X34470308328884","08-30-2023 00:14:40","GVL","To Vivacity","Shipping From District","","N/A","09-05-2023 00:24:09"
"103","1Z6X34470331707519","08-29-2023 17:03:57","Building Three","To Vivacity","Shipping From District","","N/A","N/A"
"102","1Z6X34470313610433","08-28-2023 22:38:48","GVL2","To Vivacity","Shipping From District","","N/A","N/A"
"101","1Z6X34470308580940","08-25-2023 15:03:18","GVL","To Vivacity","Shipping From District","","N/A","N/A"
"1","n3p;;DSSn6","05-05-2023 08:00:34","Proterworth","To Vivacity","Recieved By Vivacity","","N/A","N/A"
